"venue_id","name","capacity","grass","city","state","zip","country_code","location.x","location.y","elevation","year_constructed","dome","timezone"
3852,"Navy-Marine Corps Memorial Stadium", 34000,TRUE,"Annapolis","MD","21402","US",  38.984699, -76.507633,"10.74990082",1959,FALSE,"America/New_York"
5083,"New Turner Stadium",  4400,NA,"Upland","IN","92602","US",  40.456848, -85.501181,"282.0274963",2012,FALSE,NA
3853,"Neyland Stadium",102455,TRUE,"Knoxville","TN","37996","US",  35.955013, -83.925013,"271.9517212",1921,FALSE,"America/New_York"
3854,"Nippert Stadium", 40000,FALSE,"Cincinnati","OH","45221","US",  39.131250, -84.516191,"230.0660553",1915,FALSE,"America/New_York"
3810,"Nissan Stadium", 69143,FALSE,"Nashville","TN","37209","US",  36.166479, -86.771290,"121.0412598",1999,FALSE,"America/Chicago"
3855,"Notre Dame Stadium", 80795,FALSE,"Notre Dame","IN","46556","US",  41.698378, -86.233942,"222.645401",1930,FALSE,"America/Indiana/Indianapolis"
3856,"Nottingham Field",  8500,TRUE,"Greeley","CO","80639","US",  40.403493,-104.705139,"1455.349976",1995,FALSE,"America/Denver"
3891,"NRG Stadium", 71995,TRUE,"Houston","TX","77054","US",  29.684722, -95.410833,"15.19169617",2002,TRUE,"America/Chicago"
3858,"O'Brien Stadium", 10000,FALSE,"Charleston","IL","61920","US",  39.480497, -88.181162,"212.9662933",1970,FALSE,"America/Chicago"
3861,"Ohio Stadium",102780,FALSE,"Columbus","OH","43210","US",  40.001645, -83.019727,"216.6770325",1922,FALSE,"America/New_York"
3862,"O'Kelly-Riddick Stadium", 10000,FALSE,"Durham","NC","27707","US",  35.973865, -78.896969,"96.73323059",1975,FALSE,"America/New_York"
3864,"Oliver C. Dawson Stadium", 22000,FALSE,"Orangeburg","SC","29115","US",  33.498631, -80.844686,"67.29846191",1955,FALSE,"America/New_York"
5403,"Orlando City Stadium",     0,NA,"Orlanda","FL",NA,"US",  26.321224, -81.692957,NA,NA,TRUE,NA
5116,"O'Shaughnessy Stadium",  5025,NA,"Saint Paul","MN",NA,"US",NA,NA,NA,NA,FALSE,NA
3868,"Paladin Stadium", 16000,FALSE,"Greenville","SC","29617","US",  34.920192, -82.437092,"303.2829285",1981,FALSE,"America/New_York"
5238,"Panther Stadium", 15000,TRUE,"Prairie View","TX","28202","US",  30.093787, -95.996091,"77.36286926",2016,FALSE,"America/Chicago"
3873,"Papa John's Cardinal Stadium", 60000,FALSE,"Louisville","KY","40292","US",  38.205762, -85.758814,"138.5615997",1998,FALSE,"America/Kentucky/Louisville"
3874,"Paul Brown Stadium", 66515,FALSE,"Cincinnati","OH","45202","US",  39.095555, -84.516071,"146.3",2000,FALSE,"America/New_York"
3608,"Paulson Stadium", 25000,FALSE,"Statesboro","GA","30460","US",  32.412247, -81.784930,"61.25376892",1984,FALSE,"America/New_York"
3876,"Peden Stadium", 24000,FALSE,"Athens","OH","45701","US",  39.321279, -82.103431,"194.230896",1929,FALSE,"America/New_York"
4205,"Petco Park",     0,NA,"San Diego","CA","92093","US",  32.717420,-117.162773,NA,NA,FALSE,NA
3878,"Plaster Sports Complex", 17337,FALSE,"Springfield","MO","65897","US",  37.197623, -93.279812,"402.368103",1941,FALSE,"America/Chicago"
7225,"Polar Park",  9508,NA,"Worcester","MA",NA,"US",NA,NA,NA,NA,FALSE,NA
3881,"Princeton University Stadium", 27800,FALSE,"Princeton","NJ","8540 ","US",  40.345793, -74.650005,"32.00296402",1998,FALSE,"America/New_York"
7221,"Protective Stadium",     0,NA,"Birmingham","AL","35203","US",  33.520682, -86.802433,NA,NA,FALSE,NA
3485,"Providence Park", 19566,FALSE,"Portland","OR","97205","US",  45.521598,-122.691681,"23.84255791",1926,FALSE,"America/Los_Angeles"
3882,"Provost Umphrey Stadium", 16000,FALSE,"Beaumont","TX","77705","US",  30.043130, -94.069963,"3.981505394",1964,FALSE,"America/Chicago"
3932,"Qualcomm Stadium", 70561,FALSE,"San Diego","CA","92108","US",  32.783112,-117.119572,"16.28476334",1967,FALSE,"America/Los_Angeles"
3886,"Raymond James Stadium", 65828,FALSE,"Tampa","FL","33620","US",  27.975869, -82.503334,"11.07972908",1998,FALSE,"America/New_York"
3889,"Reinhart Field",  3500,FALSE,"Bronx","NY","10465","US",  40.807528, -73.797744,"7",2012,FALSE,"America/New_York"
3892,"Rentschler Field", 40000,FALSE,"East Hartford","CT","6118 ","US",  41.759568, -72.618773,"6.515614986",2003,FALSE,"America/New_York"
3893,"Reser Stadium", 43363,FALSE,"Corvallis","OR","97331","US",  44.559456,-123.281434,"66.90744781",1953,FALSE,"America/Los_Angeles"
3491,"RFK Stadium", 45596,TRUE,"Washington","DC","20003","US",  38.889810, -76.971809,"3.029993296",1961,FALSE,"America/New_York"
3894,"Rhodes Stadium", 14000,TRUE,"Elon","NC","77493","US",  36.110127, -79.507998,"204.2487793",2001,FALSE,"America/New_York"
 587,"Rice-Eccles Stadium", 45807,FALSE,"Salt Lake City","UT","84112","US",  40.759972,-111.848826,"1411.543579",1998,FALSE,"America/Denver"
3895,"Rice Stadium", 47000,FALSE,"Houston","TX","77251","US",  29.716330, -95.409326,"7.148301601",1950,FALSE,"America/Chicago"
3896,"Rice-Totten Field", 10000,TRUE,"Itta Bena","MS","38941","US",  33.511830, -90.339772,"39.88368607",1958,FALSE,"America/Chicago"
3897,"Richardson Stadium",  6000,FALSE,"Davidson","NC","28036","US",  35.499574, -80.842842,"249.4658203",1923,FALSE,"America/New_York"
 453,"Robertson Stadium", 32000,FALSE,"Houston","TX","77004","US",  29.722053, -95.349175,"9.6",1942,FALSE,"America/Chicago"
